source_id,city,area,rooms,floor,floor_count,year_built,has_parking,has_balcony,has_elevator,price,price_per_sqm,city_median_price_per_sqm,price_difference_pct,price_rating
196ca0d2aac6314ce5f55c9463d193cf,Szczecin,75.39,4,2,3,1930,False,True,False,459000,6088.340628730601,7989.845360824743,-23.799017956185597,Atrakcyjna
4f8754dd98ffd594aeb578eb6a1f7b65,Szczecin,32.0,1,8,8,1974,False,False,True,260000,8125.0,7989.845360824743,1.6915801629645788,W średniej
355336466ec74696782ce382341086bd,Szczecin,58.6,2,,4,,False,False,False,479000,8174.061433447098,7989.845360824743,2.305627509708641,W średniej
1f481e8bf65b789b5d78a426268c8ee2,Szczecin,60.2,4,4,4,1970,False,False,False,479000,7956.810631229236,7989.845360824743,-0.4134589357321028,W średniej
3a057cec08bb450365ee933a52481c82,Szczecin,123.0,4,4,5,1992,False,True,True,799000,6495.934959349594,7989.845360824743,-18.697613458202678,Atrakcyjna
98e40021de61a29b10f347c66744b51e,Szczecin,92.32,3,,2,1920,True,False,False,489000,5296.79376083189,7989.845360824743,-33.705928943221316,Atrakcyjna
928a26c876ee92813f864caa9bcb9895,Szczecin,55.68,2,1,4,2015,True,True,True,580000,10416.666666666666,7989.845360824743,30.373820721749457,Powyżej średniej
298880ffea81763224f2154e6bef6c30,Szczecin,129.3,5,3,4,1930,False,False,True,899000,6952.822892498066,7989.845360824743,-12.979255811524638,Atrakcyjna
fb10546822255a8bd8d52448ce0ae265,Szczecin,78.6,3,2,4,1929,False,False,False,440000,5597.964376590331,7989.845360824743,-29.936511612128523,Atrakcyjna
3bd5ba50de93ae72f66b9f35193ce9f8,Szczecin,61.7,3,10,12,1975,False,False,True,499000,8087.520259319286,7989.845360824743,1.2224879717128934,W średniej
27a4bf6b4e91b882b90426fa09ceb385,Szczecin,73.34,3,1,3,1950,True,False,False,600000,8181.074447777474,7989.845360824743,2.393401603119294,W średniej
f3ca741796b623df144879736b3e8a7a,Szczecin,79.82,3,2,4,2010,True,False,True,820000,10273.114507642196,7989.845360824743,28.577138151041325,Powyżej średniej
05bf29deb4431876585938dee08b2e44,Szczecin,94.0,5,3,4,1950,False,False,,560000,5957.446808510638,7989.845360824743,-25.43727019147606,Atrakcyjna
b525921b35146fbe0d845801234562cd,Szczecin,79.59,3,1,3,2017,False,True,False,860000,10805.377559994973,7989.845360824743,35.23888225640952,Powyżej średniej
